query_question	response_answer
Why should the Fund maintain a sophisticated computerized system?	The Fund should maintain a sophisticated computerized system to ensure fair and just service to the public, without giving loophole to bureaucratic mismanagement and corrupt practices by the Fund officials.
What is the minimum monthly pension provided under section 48 (4) (a) of the Act?	Shillings 110,281.13 per month
What is the full form of WCF?	Workers Compensation Fund
What can users manage under the Reconciliation module in the Medical Services Portal?	Users can manage bill reconciliations in one window for easier follow-up.
Je, situs can email to WCF?	Yes, they can email to info@wcf.go.tz for inquiries.
Mkuu wa Sehemu ya Wanawake Gereza la Mahabusu Segerea SP. Hamida Matimba alielezea nini kuhusu msaada uliotolewa na wanawake wa WCF?	Mkuu wa Sehemu ya Wanawake Gereza la Mahabusu Segerea SP. Hamida Matimba alishukuru wanawake wa WCF kwa kuona umuhimu wa kuwakumbuka wanawake wenzao na alisema kuwa msaada huo wa mahitaji muhimu utawasaidia sana wanawake hao hasa wale wenye watoto wadogo.
Who is the Vice Chairperson of the Board?	Bi. Rifai Mkumba
For how long can an employee receive temporary disablement benefits from WCF?	Not more than 24 months
Can WCF-Chat generate descriptive images related to WCF?	Yes, WCF-Chat can generate descriptive images related to Workers Compensation Fund (WCF) to explain more about user queries.
Mfumo gani wa malipo unatumika kwa waajiri kulipa michango yao kwa Mfuko wa Fidia wa Wafanyakazi?	Waajiri wanaweza kulipa kupitia mfumo wa mtandao (portal.wcf.go.tz) baada ya kupata kumbukumbu namba ya malipo (control number).
In what situation is an employee not entitled to compensation if they get an accident while temporarily working in Tanzania for an employer mainly operating outside Tanzania?	Unless the employer has paid the necessary assessments in respect of the employee
What is the purpose of the Workers Compensation Fund in Tanzania?	To address issues of compensation for workers in the public and private sectors in Tanzania who are injured, fall ill, or die as a result of their work.
Ni hatua gani za kwanza ambazo mwajiriwa anapaswa kuchukua baada ya kupata ajali kazini?	Mwajiriwa anapaswa kutoa taarifa kwa mwajiri na kwa Mkurugenzi Mkuu wa Mfuko kwa kutumia Fomu ya kutaarifu ajali WCN-1.
How can users contact the Help Desk & Support for the Medical Services Portal?	Users can contact the Help Desk & Support via email at helpdesk@wcf.go.tz or by calling 08001 10028 or 08001 10029.
What types of injuries are covered for medical aid services by WCF?	Occupational accidents or diseases
What services does WCF provide online for employers?	Employer Registration & Contributions, Occupational Incident Notification, Claim Review Application & Followup, Claim Follow Up, External Assessors, Medical Services Portal
What year is indicated at the bottom of the WCF portal page?	2024
Ni vigezo gani vinavyotumika kumpatia mtu anayemhudumia mgonjwa malipo kulingana na sheria hii?	Mtu anayemhudumia mgonjwa hulipwa fao hili ikiwa ana umri zaidi ya miaka kumi na nane (18) na ameteuliwa kumhudumia mfanyakazi aliyepata ajali au kuugua kutokana na kazi. Mhudumu atapata asilimia arobaini (40%) ya malipo anayopata mfanyakazi husika. Mfanyakazi anaweza kumbadilisha mhudumu kila mwezi.
